month_only,revenue_sum,previous_month_revenue,growth_rate
2023-11-01,1219.5695387826572,,
2023-12-01,5905.270696372385,1219.5695387826572,384.2094287027596
2024-01-01,3502.524719683244,5905.270696372385,-40.68815978520936
2024-02-01,4588.023529640132,3502.524719683244,30.991895756129235
2024-03-01,1561.78862927706,4588.023529640132,-65.95944595341776
2024-04-01,6500.80446059534,1561.78862927706,316.2409905368893
2024-05-01,4854.591571684812,6500.80446059534,-25.323218055381542
2024-06-01,6550.3153001863975,4854.591571684812,34.930306771679156
2024-07-01,6407.765337055567,6550.3153001863975,-2.1762305568218046
2024-08-01,8006.938173879222,6407.765337055567,24.95679465001274
2024-09-01,4134.839653836544,8006.938173879222,-48.35929085445546
2024-10-01,6576.121491381198,4134.839653836544,59.041753536427734
2024-11-01,1043.3809695096243,6576.121491381198,-84.13379419955818
